ID1	ID2
INT	INT
1	2
3	1
3	2
4	2
4	1
4	3
5	1
5	2
5	3
5	4
6	1
6	2
6	3
6	5
7	5
7	1
7	3
7	2
8	2
8	4
8	6
8	3
9	4
9	5
10	1
10	8
10	5
10	2
11	2
11	4
11	10
12	4
12	3
12	6
12	11
13	2
13	4
13	12
13	5
14	5
14	6
14	4
14	3
14	7
15	1
15	3
15	7
15	12
16	15
16	5
16	3
16	2
17	5
17	7
17	11
17	2
18	5
18	7
18	10
18	3
19	5
19	14
19	11
19	12
20	4
20	6
20	2
20	5
21	1
21	5
21	3
22	12
22	11
22	5
22	3
22	4
23	7
23	12
23	20
23	22
24	5
24	12
24	22
24	10
25	2
25	5
25	7
25	1
25	6
26	1
26	2
26	12
26	18
27	16
27	1
27	4
27	6
28	19
28	13
28	6
28	20
29	1
29	6
29	7
29	17
29	3
30	3
30	8
30	17
30	6
30	7
31	2
31	3
31	18
31	12
32	20
32	8
32	15
32	30
32	10
33	15
33	1
33	18
33	2
33	6
34	6
34	8
34	24
34	5
34	1
35	33
35	22
35	34
35	5
35	25
36	5
36	17
36	18
36	29
36	15
37	5
37	6
37	34
37	11
37	12
38	2
38	5
38	12
38	15
38	1
39	17
39	6
39	13
39	4
39	18
40	2
40	20
40	23
40	3
40	10
41	3
41	1
41	7
41	13
41	33
42	6
42	23
42	25
42	5
42	26
43	5
43	33
43	34
43	3
44	1
44	5
44	2
44	18
44	35
45	26
45	2
45	3
45	11
45	17
46	25
46	29
46	5
46	27
46	41
47	4
47	27
47	5
47	22
47	1
48	34
48	47
48	30
48	36
48	11
49	7
49	1
49	5
49	10
50	33
50	8
50	20
50	2
51	4
51	7
51	35
51	5
51	6
52	45
52	46
52	4
52	44
52	17
53	26
53	6
53	49
53	36
53	1
54	5
54	20
54	44
54	6
55	3
55	4
55	33
56	2
56	10
56	13
56	35
56	45
57	46
57	6
57	30
57	49
58	17
58	25
58	5
58	10
58	24
59	3
59	5
59	10
59	29
59	4
60	1
60	6
60	46
60	3
60	15
61	7
61	11
61	3
61	1
61	2
62	18
62	1
62	2
62	11
62	8
63	8
63	6
63	18
63	3
64	5
64	26
64	52
64	40
64	2
65	17
65	25
65	2
65	35
65	61
66	3
66	11
66	56
66	59
66	1
67	42
67	5
67	7
67	11
67	24
68	29
68	7
68	33
68	27
69	25
69	36
69	61
69	23
69	46
70	23
70	35
70	39
70	29
70	61
71	1
71	67
71	39
72	3
72	8
72	63
72	2
72	5
73	18
73	5
73	10
73	30
73	51
74	5
74	32
