ID	Name	Type
INT	STRING	STRING
1	@irvin	person
2	@rachel	person
3	@dykema	person
4	@szemeredi	person
5	@jantke	person
6	@tadokoro	person
7	@tweedie	person
8	@morillo	person
9	@burgard	person
10	@odberg	person
11	@cornell	person
12	@baca	person
13	@coron	person
14	@afsarmanesh	person
15	@regin	person
16	@bates	person
17	@inenaga	person
18	@jouvelot	person
19	@marrevee	person
20	@fugetta	person
21	@purcell	person
22	@penn	person
23	@aly	person
24	@kurien	person
25	@tedrick	person
26	@kajihara	person
27	@klawonn	person
28	@goodwin	person
29	@onuegbe	person
30	@acklen	person
31	@degtyarev	person
32	@bestavros	person
33	@novak	person
34	@guangyi	person
35	@jensen	person
36	@huberman	person
37	@ouhyoung	person
38	@krintz	person
39	@d'hont	person
40	@carra	person
41	@sgarro	person
42	@leonhardt	person
43	@ouellette	person
44	@whitener	person
45	@perelgut	person
46	@gobioff	person
47	@barg	person
48	@weinand	person
49	@clair	person
50	@ruemmler	person
51	@standera	person
52	@gadepally	person
53	@simhi	person
54	@dicky	person
55	@chretien	person
56	@bourcier	person
57	@ochuodho	person
58	@tohme	person
59	@schapiro	person
60	@roark	person
61	@schmitt	person
62	@simovich	person
63	@letelier	person
64	@sallaberry	person
65	@priebe	person
66	@lyonns	person
67	@perryman	person
68	@saraswat	person
69	@gruninger	person
70	@petereit	person
71	@crescenzi	person
72	@kracsony	person
73	@christianson	person
74	@ducloy	person
75	@panagopoulou	person
76	@gibbens	person
77	@traunmuller	person
78	@myllymaki	person
79	@terekhov	person
80	@foote	person
81	@tsujishita	person
82	@gong	person
83	@kayssi	person
84	@stover	person
85	@mecklenburg	person
86	@recio	person
87	@jonsson	person
88	@calingaert	person
89	@reyes	person
90	@oostrom	person
91	@nunn	person
92	@tolbert	person
93	@darnell	person
94	@niblack	person
95	@kopecky	person
96	@hofstetter	person
97	@erwin	person
98	@ashish	person
99	@rubinfield	person
100	@schaffter	person
101	@lonning	person
102	@hatcliff	person
103	@altiok	person
104	@mccue	person
105	@glymidakis	person
106	@reipa	person
107	@mckibbon	person
108	@elston	person
109	@mikitiuk	person
110	@thornton	person
111	@mckinnon	person
112	@kabuka	person
113	@deffuant	person
114	@bradshaw	person
115	@classe	person
116	@belyaev	person
117	@thanh	person
118	@stevens	person
119	@darroux	person
120	@heijst	person
121	@norton	person
122	@delgano	person
123	@engel	person
124	@schleiermacher	person
125	@birke	person
126	@encarnacion	person
127	@linzer	person
128	@basawa	person
129	@malsburg	person
130	@unland	person
131	@cosmadopoulos	person
132	@ehrenfeucht	person
133	@matsliach	person
134	@shermer	person
135	@prinz	person
136	@simmons	person
137	@gershon	person
138	@hodes	person
139	@lechtenborger	person
140	@bailey	person
141	@rahimi	person
142	@lafouge	person
143	@anselstetter	person
144	@karg	person
145	@viereck	person
146	@mihalisin	person
147	@luan	person
148	@benson	person
149	@oskamp	person
150	@godwin	person
151	@dewan	person
152	@spampinato	person
153	@vinck	person
154	@moshier	person
155	@forchert	person
156	@ramiller	person
157	@mcmains	person
158	@carver	person
159	@kirkpatrick	person
160	@gaubert	person
161	@schrott	person
162	@bolzoni	person
163	@zullighoven	person
164	@loyot	person
165	@brinkschulte	person
166	@khakhar	person
167	@hart	person
168	@bottenbruch	person
169	@viguier	person
170	@pope	person
171	@supornpaibul	person
172	@abdennadher	person
173	@antin	person
174	@buchberger	person
175	@akbar	person
176	@ulman	person
177	@quinn	person
178	@poletto	person
179	@scopinich	person
180	@valdez	person
181	@skeen	person
182	@gusat	person
183	@stabell	person
184	@nohmi	person
185	@pottosin	person
186	@stockus	person
187	@lara	person
188	@pawlikowski	person
189	@vinson	person
190	@cui	person
191	@crouch	person
192	@campr	person
193	@srimani	person
194	@reitenspies	person
195	@heusch	person
196	@rodrigues	person
197	@malkin	person
198	@blot	person
199	@abbara	person
200	@berleant	person
201	@havelund	person
202	@basili	person
203	@barroso	person
204	@tarantino	person
205	@herath	person
206	@eyres	person
