ID	City	
INT	STRING	
1	Koul
2	Kouvnic
3	Koul
4	Kouvnic
5	Kannvic
6	Koul
7	Koul
8	Kouvnic
9	Prounov
10	Prounov
11	Ryzkland
12	Koul
13	Pasko
14	Kouvnic
15	Kouvnic
16	Transpasko
17	Ryzkland
18	Koul
19	Kouvnic
20	Kannvic
21	Solvenz
22	Prounov
23	Prounov
24	Solvenz
25	Solank
26	Solvenz
27	Prounov
28	Prounov
29	Koul
30	Koul
31	Prounov
32	Prounov
33	Kouvnic
34	Prounov
35	Koul
36	Koul
37	Ryzkland
38	Koul
39	Koul
40	Ryzkland
41	Koul
42	Koul
43	Prounov
44	Prounov
45	Koul
46	Koul
47	Koul
48	Koul
49	Koul
50	Sresk
51	Koul
52	Prounov
53	Prounov
54	Koul
55	Koul
56	Sresk
57	Kannvic
58	Kannvic
59	Koul
60	Koul
61	Koul
62	Koul
63	Sresk
64	Koul
65	Prounov
66	Tulamuk
67	Kouvnic
68	Kouvnic
69	Transpasko
70	Prounov
71	Otello
72	Koul
73	Koul
74	Koul
75	Kouvnic
76	Koul
77	Koul
78	Koul
79	Prounov
80	Kouvnic
81	Koul
82	Koul
83	Prounov
84	Prounov
85	Prounov
86	Koul
87	Pasko
88	Prounov
89	Prounov
90	Koul
91	Kouvnic
92	Tulamuk
93	Prounov
94	Koul
95	Kouvnic
96	Pasko
97	Koul
98	Koul
99	Prounov
100	Prounov
101	Koul
102	Koul
103	Koul
104	Koul
105	Solank
106	Koul
107	Koul
108	Prounov
109	Koul
110	Koul
111	Koul
112	Prounov
113	Prounov
114	Koul
115	Prounov
116	Koul
117	Prounov
118	Koul
119	Kouvnic
120	Koul
121	Prounov
122	Solvenz
123	Prounov
124	Prounov
125	Koul
126	Koul
127	Tulamuk
128	Prounov
129	Prounov
130	Koul
131	Kannvic
132	Koul
133	Ryzkland
134	Koul
135	Prounov
136	Solvenz
137	Prounov
138	Koul
139	Prounov
140	Prounov
141	Solank
142	Prounov
143	Kouvnic
144	Koul
145	Koul
146	Kannvic
147	Ryzkland
148	Transpasko
149	Prounov
150	Prounov
151	Koul
152	Prounov
153	Transpasko
154	Ryzkland
155	Koul
156	Tulamuk
157	Prounov
158	Koul
159	Koul
160	Koul
161	Kouvnic
162	Kouvnic
163	Koul
164	Solvenz
165	Kannvic
166	Solvenz
167	Prounov
168	Koul
169	Kouvnic
170	Koul
171	Koul
172	Koul
173	Kouvnic
174	Kouvnic
175	Sresk
176	Prounov
177	Kannvic
178	Prounov
179	Koul
180	Sresk
181	Sresk
182	Koul
183	Otello
184	Prounov
185	Prounov
186	Koul
187	Koul
188	Prounov
189	Prounov
190	Prounov
191	Prounov
192	Sresk
193	Kouvnic
194	Prounov
195	Prounov
196	Kannvic
197	Koul
198	Koul
199	Koul
200	Koul
201	Pasko
202	Kouvnic
203	Sresk
204	Otello
